"","id","Sp_no","Species.name","LAT","LA2","LA3","LONG","LO2","LO3","LATDEC","LONGDET","latdec_fudged","londec_fudged","ALT","SGRIDS","PRCODE","STATE","VGR","LOCALITY","HABITAT","SUBSTRATE","HOSTgenus","HOSTsp","HOSTcname","DAY","MONTH","YEAR","date.comments","oldID","BATCH","PHOTO","SPECIMEN","Checked","Initial","date.checked","Basis...specimen","Basis...photo","PhotoID","Submitted.as","date.entered","DENTRY","SS","SH","SL","COMMENTS","COLL.NO","DET","HERB.NO","LITauth","LITbibl","AHC","recorded_by","Doubtful.record","Book.or.REF","REF.Number"
"10651",70931,1602,1602,41,40,0,145,57,0,41.666655,145.950009,0,0,"","LLG","1","TAS",NA,"Cradle Mtn. NP (northern end)","","","","","",27,4,2002,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"27378",86108,529,529,42,37,0,147,16,0,42.616656,147.266668,0,0,"","LLG","1","TAS",NA,"Chauncy Vale","","","","","",10,6,2003,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"7415",65971,1791,1791,42,41,0,146,30,0,42.683327,146.500002,0,0,"","LLG","1","TAS",NA,"Growling Swallet","","","","","",4,6,2002,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"18278",76963,811,811,43,22,0,146,53,0,43.366653,146.883332,0,0,"","LLG","1","TAS",NA,"Duckhole Lake","","","","","",12,4,2008,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"27437",86167,529,529,42,54,0,147,15,0,42.899987,147.250003,0,0,"","LLG","1","TAS",NA,"Myrtle Gully","","","","","",15,9,2001,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"28282",87062,510,510,42,55,0,147,15,0,42.916656,147.250009,0,0,"","LLG","1","TAS",NA,"Mt. Wellington, S.E. Tracks","","","","","",23,8,2003,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"47385",106650,256,256,42,55,0,147,15,0,42.916656,147.250009,0,0,"","LLG","1","TAS",NA,"Mt. Wellington, S.E. Tracks","","","","","",22,12,1998,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"47714",106994,234,234,42,41,0,146,30,0,42.683327,146.500002,0,0,"","LLG","1","TAS",NA,"Growling Swallet","","","","","",5,8,1999,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"37917",96971,369,369,42,55,0,147,15,0,42.916656,147.250009,0,0,"","LLG","1","TAS",NA,"Mt. Wellington, S.E. Tracks","","","","","",2,10,2001,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"58640",118222,42,42,43,25,0,146,52,0,43.416655,146.866671,0,0,"","LLG","1","TAS",NA,"Hastings Caves SR","","","","","",31,5,2001,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"22648",81424,675,675,42,55,0,147,15,0,42.916656,147.250009,0,0,"","LLG","1","TAS",NA,"Mt. Wellington, S.E. Tracks","","","","","",25,3,2003,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"40322",99454,337,337,42,44,0,146,25,0,42.733328,146.416667,0,0,"","LLG","1","TAS",NA,"Florentine F5 Road","","","","","",8,4,2000,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"25974",84789,541,541,43,12,0,146,52,0,43.199986,146.866676,0,0,"","LLG","1","TAS",NA,"Kermandie Falls","","","","","",10,4,2003,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"32587",91522,449,449,43,6,0,146,41,0,43.099987,146.683338,0,0,"","LLG","1","TAS",NA,"Warra SST","","","","","",20,5,2006,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"19721",78463,753,753,42,52,0,147,9,0,42.866653,147.150008,0,0,"","LLG","1","TAS",NA,"Myrtle Forest","","","","","",15,1,2011,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"7226",65812,1804,1804,43,12,0,146,54,0,43.199993,146.900008,0,0,"","LLG","1","TAS",NA,"Hermons Road","","","","","",4,11,2004,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"7721",66187,1759,1759,42,41,0,146,42,0,42.683323,146.7,0,0,"","LLG","1","TAS",NA,"Mt. Field, Falls Loop","","","","","",1,6,2010,"","",1,"","",NA,"","",NA,NA,NA,NA,"18/3/15","AB","SS","",NA,"",NA,NA,"",NA,NA,NA,279,NA,NA,0
"3530",18816,217,217,43,22,0,146,53,0,-43.36666667,146.8833333,NA,NA,"120","LLM","2","TAS",NA,"Duckhole Lake Track","Wet sclerophyll","","","","",18,5,2002,"","",13,"","",1,"","",NA,NA,NA,NA,"27/1/04","CFR","S","",NA,"",NA,NA,"",NA,NA,4,279,NA,NA,NA
